userId,review,평점,bookId
mu***************,이유식 시작해야 되는데 막막해서 구매 했는데 도움이됩니다,10.0,S000001967752
dn******,이유식만들 때 초보엄마들에게 도움이 되는 책이에요!,10.0,S000001967752
kb*****,아주좋아요 아주좋아요,10.0,S000001967752
he******,곧 있으면 이유식을 시작해서 읽고 많이 배우려고 구매했어요,10.0,S000001967752
nj****,이유식때문에 고민이었는데 많은 도움이 되요,10.0,S000001967752
se*******,이유식의 기본틀을 알 수 있어요. 중요 내용이 반복적이라 이해하기 쉬어요.,10.0,S000001967752
ho********,도움이 많이되요!,10.0,S000001967752
sm******,삐뽀삐뽀 119이유식,7.5,S000001967752
ji********,이유식을 체계적으로 이해할 수 있도록 도와줍니다,10.0,S000001967752
kw*****,택배로 온 책이 살짝 찢어져서 왔어요 반품하기 귀찮아서 그냥 쓰는데 책을 볼때마다 마음이 살짝 찢어지네요,7.5,S000001967752
wo****,잘 정리되어 있어서 넘 유익해요,10.0,S000001967752
le******,이유식에 대한 개념을 잡고자 구입한 책책을 읽고 있으면 마치 유튜브읓 보는것과 같은 느낌이 든다,10.0,S000001967752
lo********,23년 개정판이길래 그냥 샀는데 도착한 건 24년 개정판이네요 ㅎㅎ,10.0,S000001967752
ji********,초보 엄빠의 확실한 레시피 가이드,10.0,S000001967752
wn*****,읽어도 감이 잘 안잡혀요복잡하네요..,2.5,S000001967752
hx****,이유식막막했는데 도움되었어요,10.0,S000001967752
go********,도움이 많이 됩니다,10.0,S000001967752
gk********,아이를 위해 준비했습니다,10.0,S000001967752
gk********,아이를 위해 준비합니다,10.0,S000001967752
ej****,이유식 시작전에 읽기 좋은거같아요!,10.0,S000001967752
dh********,아이 아빠라는 게 믿겨지지 않지만 잘 시작해야,10.0,S000001967752
go****,내용 좋아요 읽기쉬워오,10.0,S000001967752
mi*****,인사이트가 있는 책입니다. 잘 읽을게요,10.0,S000001967752
mi*****,이유식의 여러 정보들을 책으로 한번에 볼 수 있어서 너무 좋은 것 같습니다,10.0,S000001967752
hy******,아기 이유식에 큰 도움이 될거 같아요:),10.0,S000001967752
ri********,다음달부터 이유식 시작해야해 구매합니다^^,10.0,S000001967752
gs****,아기 이유식 필독서라 구입했습니다.도움이 많이 됩니다.,10.0,S000001967752
ek*******,이유식 준비로 구매해봤어요,10.0,S000001967752
pa*******,도움이 됍니다 많이 파세요,10.0,S000001967752
tt****,아이 이유식 시작을 앞두고 베스트셀러중 하나 구메하였습니다. 보기쉽게 되어있어 잘 활용할수 있겠네요,10.0,S000001967752
y4******,육아 필수 도서죠. 꼭 개정판으로 구매하세요^^,10.0,S000001967752
yu*******,이유식에 도움 많이되어요,10.0,S000001967752
ka********,이유식 만들때 좋아요,10.0,S000001967752
ki******,이유식 시작하려고 주문했어요,7.5,S000001967752
ki******,아기이유식열심히해봐야겠어요,7.5,S000001967752
gi*******,이유식 준비하면서 앞길이 막막했는데 좋은 길잡이가 되었습니다,10.0,S000001967752
il****,개정된 이유식 지침이 반영되어 좋지만 똑같은 내용이. 많이 반복되요!,7.5,S000001967752
pa********,아가를 위해 구입. 도움돼요,10.0,S000001967752
pa********,요리초보인데 도움됐어용,10.0,S000001967752
os******,이유식 머리아팠는데 전반적인 흐름과 레시피가 있어 도움됐어요,10.0,S000001967752
mi*****,인사이트가 있는 책입니다.,10.0,S000001967752
re******,이론이 잘 정리되어 있는 책입니다~읽어보시면 이유식 정리가 쉬워집니다,10.0,S000001967752
ji*******,이유식 준비로 국민 책 사봅니다~!,10.0,S000001967752
jd******,이 책뿐만 아니라 원장님 유튜부 영상도 정말 큰 도움 많이 됐어요.이런 분들이 세상을 조금씩 바꿔나가는 게아닐까요?,10.0,S000001967752
pr****,이유식에대한 지식이 전혀 없었는데 개념이 잡힌 느낌이라 좋았습니다.,10.0,S000001967752
ks*******,삐뽀삐뽀 이유식 119,7.5,S000001967752
ok****,아이를 키우는데 참으로 도움됩니다,10.0,S000001967752
np***,굳입니다요요요추천해요,10.0,S000001967752
my*******,이유식준비하려고 주문했어요~ 최근 개정된 정보가 있다고해서 좋았어요,10.0,S000001967752
ul*******,이유식은 최신지침을 참고해야한다고 해서 구매했어요 식단표는 없지만 개념 잡기 좋아요!,10.0,S000001967752
wl***,좋은상품 빠른배송 감사합니다,10.0,S000001967752
am******,이유식에 대해 잘 정리되어 있어서 유용하게 잘 쓸 수 있을 것 같습니다.,10.0,S000001967752
ka******,소아과 전문의가 작성한 믿을 수 있는 이유식 지침서. 개인이 작성한 책보다 학계 원칙에 기반한 전문적인 책으로 가이드라인을 잡는 것이 좋다,10.0,S000001967752
ga****************,이유식 만드는데 도움됩니다..,10.0,S000001967752
so*******,아기이유식을 시작하려고 구매했습니다. 명성 답게 책은 너무 맘에 드네요. 다만 배송이 너무 늦어서 기다리느라 눈 빠지는 줄... 타 업체는 하루지나면 바로 오던데... 배송이 너무 느려요... 예상 배송 날짜보다도 더 늦게 옴....,10.0,S000001967752
hi******,재밌게 잘봤습니다.,10.0,S000001967752
sa********,이유식 준비에 도움이 됩니다,10.0,S000001967752
ki********,처음이유식 만드는 사람에게 좋아요,10.0,S000001967752
je******,이유식에 관련되어 전문가의 최신 자료도 있어서 좋습니다,10.0,S000001967752
rk*****************,이유식준비로 구매햇어요 내용이좋습니다,10.0,S000001967752
mi*******,이제  이유식 준비하려는데 막막했는데 도움됬어요,10.0,S000001967752
yo*****,알기쉽게 정리되어있어용,10.0,S000001967752
kn*****,오랜만에하려니 헷갈려 구매했어요도움될거같아요,10.0,S000001967752
mi******,곧 이유식 시작할 때라 믿고 보고있어요궁금한 거 다 해결중,10.0,S000001967752
em*****,기본개념 익힐수 있어서 좋아요,10.0,S000001967752
du********,내용이 볼만하고 좋았다.,10.0,S000001967752
na***,믿음이 가요 헤매지 않고 이유식 준비할 수 있을 것 같습니다.,10.0,S000001967752
ch********,좋아요 아기잘키우려구요,10.0,S000001967752
wi*******,아직까지도 덕분에 이유식 잘 배우면서 만들고 있습니다,10.0,S000001967752
le********,2022년 10월 최신 개정판으로 왔습니다 :) 첫 아이의 첫 이유식이라 어디서부터 어떻게 시작해야될지 모르겠어서 구입하게 되었습니다 . :) 아이에게도 저에게도 이유식 시기를 즐겁게 보내길 바라면서 정한 책입니다 . 후회 없을 듯 합니다 ^^,10.0,S000001967752
ke*******,이유식에 큰 도움이 됩니당,10.0,S000001967752
by******,이유식을 준비하면서 주변 추천을 받아 미리 공부하려고 구입했습니다.,10.0,S000001967752
hs****,잘 읽어보겠습니다~~~,10.0,S000001967752
se******,원래 읽던 소아과 책의 연장선이라 편하게 읽히네요.,10.0,S000001967752
sa********,아기 이유식책중 최고임,10.0,S000001967752
js*****,아직안읽었는데 유용할것같아요,10.0,S000001967752
jy*****,좋은 책입니다. 도움이 되었습니다.,10.0,S000001967752
sh******,많은 도움이 됩니다^^,10.0,S000001967752
co*******,이유식 준비하면서 샀는데 너무 좋아요!,10.0,S000001967752
mi*******,워낙 유명하신 분이라 믿고 구매했습니다. 아기가 아직 어리지만 미리 공부하려구요. 역시 책 내용은 좋네요~,10.0,S000001967752
ro******,초보 엄마들에게는 필독서인거 같아요. 정독합니다.,10.0,S000001967752
tm*******,아기 이유식 시작전에 구매해서 읽었는데 많이.도움됐어요,10.0,S000001967752
k2*****,아기이유식 시작해야 하는데 막막해서 찾아보다가 추천글이 많아서 읽어봤는데 꽤 도움이 많이 되네요,10.0,S000001967752
sy*****,정독하고있어요 아가 이유식 잘 해보려 합니다,10.0,S000001967752
ce*****,초보인 엄마한테 너무 유용하네요최신 정보로 개정도 되어서 참고하기 좋아요~유튜브도 같이 참고 할 수 있어서 좋아요,10.0,S000001967752
hu******,아기 이유식을 시작하면서 주변 추천을 받아 구매했습니다. 이론이 적혀있어 이해하는데 도움이 많이 되었습니다.,10.0,S000001967752
ju******,이유식 시작하는 아기 부모님께 선물드림,10.0,S000001967752
du****,조아요       .,10.0,S000001967752
be******,이유식 먹는 시기에 많은 도움 받고 있습니다.,10.0,S000001967752
ki******,"많은이유식책을뒤적이다 이책을골랐는데 내용,설명 만족합니다^^",10.0,S000001967752
wh*******,이유식 고민하다가 다른 책과 비교 후 구매하였습니다 확실히 정석으로 된 이유식 교과서네요 설명도 잘 되어있고 읽어보면 잘하지 못하더라도 조금은 괜찮을거 같은 토닥토닥 해주는거 같습니다 걱정했는데 이유식 시작 잘 할 수 있을거 같습니다..,10.0,S000001967752
DA*******,육아책 이유식의 바이블이죠,7.5,S000001967752
al******,첫 아이라 너무 몰라서  도움받고자 구입 간단하게 설명되어 있어요,10.0,S000001967752
wh*****,이유식 만들때 유용해요,7.5,S000001967752
mi******,잘샀습니다 잘읽어볼게요~,10.0,S000001967752
bl******,이유식 만드는데 도움됩니다~,10.0,S000001967752
eu********,이유식 다른 시중에 책 많은데 이책만이 소아과 의사샘들이 추천해주시더라구요..! 그래서 굳이 이책으로 샀어요 물려받은 다른 책들도 많은데도 불구하구요. 근데 너무 자세히 잘 나와있어서 좋아요 만족합니다!,10.0,S000001967752
su***,매우 유익한 책입니다. 이유식할때 한권 가지고 있으면 도움 많이 됩니다.,10.0,S000001967752
gp******,이유식의 대한 기초지식부터 이유식 만드는법 까지 상세하게 적혀있어요 많은 도움됩니당!,10.0,S000001967752
hy*****,최신 이유식 정보를 알수있어 좋아요,10.0,S000001967752
bl*****,추천받아서 읽게되었어요 이유식준비중인데 잘 따라해보려구요,10.0,S000001967752
lo*****,동생선물루 구매했어요,10.0,S000001967752
lo*****,배송 빠르고 내용이 좋아요ㅎㅎ,10.0,S000001967752
qp********,그림이 상세하게 잘나와있어요,10.0,S000001967752
nu*****,잘 정리돼있어 유용합니다.,10.0,S000001967752
cw*****,기본적인 내용들이 잘 설명되어 있어요,10.0,S000001967752
ss*****,"전문가가 쓴 책을 보라는 소아과 선생님의 추천을 받아 구매했습니다. 하정훈 선생님께서 집필하신 책이라 믿을만 하고 내용이 유익하여 기본서로 좋습니다. 이유식 레시피가 적다는 평을 들었는데, 저는 책에 있는 레시피도 충분하고, 부족할 경우엔 인터넷 서치로 보충하려고 합니다^^",10.0,S000001967752
yo******,다음달 이유식 위해 구매했어요 유용하네요~,10.0,S000001967752
yu****,이유식 시작하려는데 도움이 되어요 ^^,7.5,S000001967752
gl*****,이유식 준비하는데 많은 도움이 됩니다~~,10.0,S000001967752
yo********,이유식 시작하기위해서많은 정보얻어가랴구요,10.0,S000001967752
ye****,이유식이 막막한 초보엄빠들이 읽으면 좋아요,10.0,S000001967752
ka*******,선물하려고 주문했어요 도움이 될 것 같아요~,10.0,S000001967752
eu*****,이유식에 대한 전반적인 정보를 얻고자 구매했어요. 이유식 레시피는 따라하지 않았지만 전반적인 정보들은 좋아요,10.0,S000001967752
ye*******,보기편하게 잘 정리되어 있어서 좋네요. 믿고 봅니다 ㅎㅎㅎ,10.0,S000001967752
ga*******,이유식을 처음 시작하는데 아주 많은 도움이 되네요 ㅎㅎ,10.0,S000001967752
yo******,명불허전 삐뽀삐뽀 시리즈입니다. 육아 도중에 읽어도 머리에 들어올수있게 쉽게 설명해주심은 물론 이유식에 대한 기초부터 탄탄히 알려주니 단단한 반석을 다진듯한 기분입니다. 또 질병에 따른 이유식 내용도 담고있어 엄마의 또다른 걱정도 덜어주었습니다.,10.0,S000001967752
go******,다름 책.샀다가 이유식 지식이 필요할것같아서 샀어요. 내용이 알차고 이해하기 쉬워요,10.0,S000001967752
hj*****,삐뽀삐뽀 119모유 편을 잘 읽어서 이유식도 이책으로 선택했어요,10.0,S000001967752
da******,이유식 만들때 많은 도움이 될꺼같아요!!,10.0,S000001967752
na*****,신뢰가 가는 내용입니다.,10.0,S000001967752
ai*******,좋아요,10.0,S000001967752
su*******,이유식의 알파에서 오매가,10.0,S000001967752
op****,"책 크기가 기대보다 훨씬 아담해서 받았을 때 좀 당황스러웠네요가로 14.5cm, 세로 20.9cm 로 일반적으로 요리책에 기대하는 사이즈보다 훨씬 작아요총 112페이지로 분량도 그리 많지 않고요현재의 재정가는 꽤 매력적이지만, 실물 보고 원 가격이었다면 구입하지 않았을 것 같아요반면 내용은 꽤 알찬 편입니다평소 혼밥할 일이 잦고 덮밥 비빔밥 등의 일품요리를 좋아해서인지 활용할만한 레시피가 많이 보여요외양보다 실속 위주의 요리들이라고 보면 됩니다그런데 메뉴가 소박한 덮밥 위주이다 보니 요리 사진이 멋있고 예쁘지는 않아요레시피는 일식을 중심으로 중식 한식 동남아식 등 다양합니다",7.5,S000001916557
bo****,정가인하 코너에서 13800-> 4400-> 3960으로 할인폭이 커서 구매해봤는데.... 정가가 4400원이네요.  속은 기분이....;,2.5,S000001916557
rj***,간단하게 만들어 먹을 수 있는 덮밥 레시피가 많이 있어요~ 하나씩 해먹어보려구요~,10.0,S000001916557
mi****,잘 만든 책. 얇고 가볍고 사진이 많고 종류가 다양하고 심지어 저렴하다면.. 여러모로 기분을 좋아지게 한다,10.0,S000001916557
ji******,간단하게 덮밥 해먹고 싶어서 주문했어요 요즘 외식비용이 많이 증가된데 비해서 외국향신료는 굉장히 다양하게 들어와있기 때문에 방법만 알면 집에서도 간댜하게 사먹는 덮밥을 만들어 맛있게 먹을수 있다는게 이 책의 장점이라고 생각해요 저에겐 큰 도움이 됩니다,10.0,S000001916557
at****,유익한 내용이에요 추천합니다!!,10.0,S000001916557
bk******,덮밥! 너무 좋아하는데 이 책을 발견해서 구매했습니다 아담해서 귀여워요 얼른 레시피대로 요리해보고 싶어요,10.0,S000001916557
ki********,이 책 덕분에 늘 먹던 덮밥에서 벗어나 새로운걸 해 먹어 보네요,10.0,S000001916557
qh********,유익한 도서입니다~,10.0,S000001916557
su******,미니 책인 만큼 무척 평이하고 간단함,7.5,S000001916557
bo*******,덮밥류를 좋아해서 구매했어요:)간단하고 만들기 쉬운 메뉴가 많아서 좋아요,10.0,S000001916557
jw****,간단한 식사를 하거나 입맛이 없을 때간편한 레시피로 덮밥을 해먹을 수 있어서 좋은 거 같네요,10.0,S000001916557
ki********,요리하는 거 좋아하고 덮밥류도 종종 해먹어서 저렴한 맛에 사봤는데 생각보다 좋아요 레시피 응용해서 만들어 먹으려고 합니다,10.0,S000001916557
sh******************,이거 덕분에 여자친구랑 달궈졌어요,10.0,S000001916557
po***,쉽고 빠르게 만들수 있어요,10.0,S000001916557
ar******,재밌게 덮밥 만들기 ^^,10.0,S000001916557
91******,가격실화인가요…?? 너무 예쁘게찍은 사진이 첨부된 덮밥레시피 너무너무 쉽고 좋슺니다.,10.0,S000001916557
jb******,간편하게 조리할때 도움됩니다,10.0,S000001916557
jb******,간단하게 덥밥활용하기에 좋아요,10.0,S000001916557
gh*****,설명이 너무 심플함살짝 산거 후회중,7.5,S000001916557
fk******,쉽고 도움되는 레시피 가득,10.0,S000001916557
za***********,최고입니다 최고입니다,10.0,S000001916557
eu****,"칼라로 된 요리책, 쉽게 응용해 요리가능해 도움됩니다",10.0,S000001916557
mu*****,라면대신 간단한 덮밥 한끼 아이디어 참고하면 좋아요,10.0,S000001916557
ne*****************,기존에 알고 있던 덮밥을 훨씬 뛰어넘는 여러나라의 다양한 덮밥을 알 수 있어서 재미있게 읽었습니다,10.0,S000001916557
mu*****,간단히 덮밥으로 한끼 만들고 싶을 때 참고하기 좋은 것 같습니다일본식 덮밥이라 레시피도 간단한 편입니다,10.0,S000001916557
in*******,요리과정 설명이 부족하다는 느낌이 큽니다..,7.5,S000001916557
py****************,한 그릇 건강한 집밥 도전에 쉽고 가성비 좋은 레시피,7.5,S000001916557
le*******,간단하게 덮밥을 할 수 있는 레시피가 간략하게 적혀 있습니다. 간략한 것은 좋지만 설명이 조금 부족하네요.,7.5,S000001916557
ch*******************,"레시피가 많고 국, 스프류도 있어요",10.0,S000001916557
hj*****,아이 밥할때 간단하게 해줄 음식이 필요했는데 책보면서 해주려고요,7.5,S000001916557
li*****,좋은상품 감사합니다,10.0,S000001916557
ph******,"다양한 덮밥 요리를 소개하고 있어, 하나씩 만들어보는 재미가 있습니다",5.0,S000001916557
ye********,너무너무 재밌게 잘봤습니당,10.0,S000001916557
yu*******,다양한 덮밥 레시피를 볼 수 있어 유용해요간단 요리 좋아해서 참고하고 있습니다~,10.0,S000001916557
pl****,덮밥레시피 집합같다,10.0,S000001916557
or********,음식 사진이 많아요. 재미있어요.,10.0,S000001916557
la*******,많이 만족스럽지는 않지만 나름 골라서 도웅됩니다,10.0,S000001916557
fr********,신기한 덮밥들 많아요.,10.0,S000001916557
pa********,책이 작지만 알차고 요리할 때 도움될 것 같아요. 사진도 큼지막하게 들어가 있어요.,10.0,S000001916557
or********,요리 책 좋아해서 구매했습니다.,10.0,S000001916557
77****,간편하게 요리할 수 있어요.,10.0,S000001916557
ic*****,"아무래도 일본인 저자다보니 식재료가 우리나라와 많이 달라요. 뱅어라던지 미소 된장, 갓 장아찌, 팽이버섯 통조림, 간 생강, 멘쯔유 이런 것들..구하려면 구할 수는 있겠지만, 저는 간단하게 해먹을 덮밥을 생각하고 샀기 때문에 좀 당황스럽네요 ㅋㅋ덮밥이라는 메뉴가 생각보다 다양한 요리였어요.그래도 주재료별 색인이 있어서 한번 사면 이것저것 해볼 수 있을것 같아요. (물론 요리 1개에만 쓰이는 재료도 있긴 합니다)조미료는 치킨 스톡, 다시다, 미소, 참기름 정도면 웬만한 건 시도해볼 수 있을 것 같네요. (설탕, 간장 등 기본 재료 제외)",10.0,S000001916557
la*******,생각보다 일식 스타일이라 좀 실망이네요몇가지 골라서 해봐야겠지요,10.0,S000001916557
an***************,배송빠르고 책 좋아요,10.0,S000001916557
he***,주위에 선물도 주었습니다,10.0,S000001916557
he***,해 먹고 싶은 음식이 많네요,10.0,S000001916557
gc*****,쉽게 따라 할 수 있어서 좋아요. 강추 강추,10.0,S000001916557
mu*****,간단한 레시피라 쉽게 할수있어요,7.5,S000001916557
an***************,배송 빨라요. 내용 유익해요,10.0,S000001916557
jp*****,가격대비 괜찮은것같아요,7.5,S000001916557
gk*******,다양한 덮밥에 대한 것을 알 수 있어 좋았습니다.,10.0,S000001916557
ch******,간단히 해먹을만한 조리법 제법 알차요,10.0,S000001916557
pb****,가지수는 많기는 하지만 요리초보에게는 좀 어려울 듯 해요,7.5,S000001916557
kh*******,재미있게 잘 읽었어요,10.0,S000001916557
sy***,다양한 덮밥을 알 수 있어서 좋아요,10.0,S000001916557
su*****,간단하고 좋아요.,10.0,S000001916557
so***,그냥.그래요. 너무 얇고 내용도 볗로,2.5,S000001916557
si*****,한그릇요리가 좋아요,10.0,S000001916557
bl*******,방학동안 원푸드덮밥으로 끼니해견,10.0,S000001916557
n2*****,오늘부터 맛있는 덮밥먹는다.,10.0,S000001916557
he***,사진을 보며 덮밥 만드는 상상을 합니다.,10.0,S000001916557
ja******,한국에서 구할 수 없는 재료가 상당히 많습니다...,10.0,S000001916557
dp****,간단히 참고하려고 구매했어요,10.0,S000001916557
ch******,가격을 감안하면 가성비가 좋으나 번역이 대충된 부분이 있어 그냥 한국요리책을 살 것을.. 후회도 밀려드는 책,7.5,S000001916557
ha********,재료가 그렇게 어려운 재료들은 아닙니다. 집에서 해먹을 게 없을때 레시피를 보며 어설프게 따라하는 재미가 있습니다,10.0,S000001916557
sm*******,간단한 레시피 보기 좋게 구성되어있어요,10.0,S000001916557
ba*****,아주 얇은 책이예요. 덮밥 좋아하면 사진 보는 것만으로도 좋습니다. ㅎㅎㅎㅎㅎㅎ,10.0,S000001916557
ha*****,책이 정말 작네요덮밥만드는데 도움됐음하네요,7.5,S000001916557
kj****,예쁜 그림보단 간단한 요리법이 자주 따라할 수 있어 실용적이네요,7.5,S000001916557
ki*******,감사합니다 감사합니다,10.0,S000001916557
kh*****,간단하게 한끼 상차림할 때 참고하려고 구입했어요.가격 대비 좋은 책이네요.,7.5,S000001916557
ju******,"일본식 덮밥 사진도, 설명도 도움되네요",7.5,S000001916557
do***,간단하게 한끼 만들어서 먹기 좋아요,10.0,S000001916557
ss********,유익한 책이에요~!,10.0,S000001916557
th*********,재료나 요리법이 간단해서 유용해요. 근데 새책 냄새가 시간이 지나도 안빠지네요 ㅜㅜ,7.5,S000001916557
su******,작은 사이즈의 책이나 좋아요,10.0,S000001916557
mi*******,내용 간결하고 유용했어요,10.0,S000001916557
al****,"일식 기반이라 재료 수급이 좀 그런 요리도 있지만,, 몇몇은 시도해 볼것 같아요,,",10.0,S000001916557
au********,오늘은 아무래도 덮밥 좋습니다.,10.0,S000001916557
to*******,덮밥을 좋아해서 도움받으려고 구입해봤습니다.뭐 사진만 봐도 좋겠다 했는데 두껍지 않고 가벼워서자주 보고 만들어보게 될것 같아요~!!,10.0,S000001916557
ji****,따라하기 쉬운 설명과 다양한 덮밥이 실려있어 도움 되는 책입니다. 하나씩 따라해보는데 맛도 좋아서 사길 잘 했다는 생각이 드는 책입니다.,10.0,S000001916557
sa********,보기쉽게잘되어잇어요,10.0,S000001916557
wo****,덮밥을 쉽게 맛있게 만드는 방법이 담겨 있어요.,10.0,S000001916557
ta*******,지인소개로 구매해봅니다,10.0,S000001916557
sh******************,뭘 해먹을지 모를때 펼쳐보면 좋을 것 같아 구매했어요.,10.0,S000001916557
qp*****,집에서 손쉽게 따라해볼수있을 레시피네요,10.0,S000001916557
th*****,요리에 대한 자세한 내용 좋아요,10.0,S000001916557
bb***,재미있게 잘읽었습니다,10.0,S000001916557
ja*******,재미있게 잘읽었습니다,10.0,S000001916557
jj*****,이책을 보면 다양한 덮밥을 요리하고 싶어져요.,10.0,S000001916557
lc******,다양한 덮밥 요리를 시도하기 좋습니다,10.0,S000001916557
sj***,"재료들과 메뉴구성이 심플한편이라당장 만들 수 있는 덮밥들이 많아요.가격대비 상당한 레시피들을 내포하고 있고,따라해보니 맛도 있어요.타국의 요리책이라서 맛이 이질적일까 약간 걱정했는데, 오히려 맛이 좋고 간편해서 틈틈히 보고있어요.도서가격도 부담없어서 장바구니에 쏘옥 넣어보고 따라해보시길 추천드려요!",10.0,S000001916557
fd***,재밌고 내용이 알차네요,10.0,S000001916557
kh*******,레시피가 간단해서 꽤 많이 해먹어봤어요,10.0,S000001916557
ij***************,다양한 덮밥요리!!,10.0,S000001916557
dy*******,잘봤습니다. 감사합니다.,10.0,S000001916557
ru****,표지가 너무 이뻐서 샀어요. 덮밥 요리 간단히 따라하기 좋아요.,10.0,S000001916557
se****,편하게 해먹을 수 있어서 좋아요,2.5,S000001916557
lc******,정가 인하로 구입한 책인데 내용이 알차서 좋네요,10.0,S000001916557
gh*****,일본식으로 먹을수있는 덮밥을 많이 알수가 있어서 좋았다. 한번 도전해보고 싶은 덮밥들.,10.0,S000001916557
ly***,책이 작지만 아주 알차서 진짜 유용합니다,10.0,S000001916557
so********,메뉴 고민될 때 열어보니 좋아요,10.0,S000001916557
ab******,일본요리를 좋아한다면 도윰이됩니다,7.5,S000001916557
10*****,오늘은 아무래도 덮밥 잘 받았습니다,7.5,S000001916557
so*****,감사합니다 고맙습니다 좋아요,10.0,S000001916557
si*******,도움이 많이 되어요,10.0,S000001916557
mi********,한그릇 음식을 자주 하게 돼요~시간 맞추기 어려워 각자  먹는데 해먹기 좋은 메뉴 있어요 다만 일본식재료가 더러 있어서  대체재료로 맛이 날지 모르겠엉ㆍ,10.0,S000001916557
po*******,다양한 덮밥과 쉽게 되어있네요,10.0,S000001916557
ka*****,요즘은 간단하게 덮밥이 땡기네요,10.0,S000001916557
kw******,좋아요 원래 정가가 4400원이네요,7.5,S000001916557
po****,덮밥 요리종류가 많아용,10.0,S000001916557
tr******,하루에 한끼라도 잘 해먹어 보겠습니다,10.0,S000001916557
om****,혼밥족에게는 쉽고 간단한 다양한 요리법이 들어있는 적당한 책,5.0,S000001916557
